accommodation,accommodations
action replay,instant replay
aerofoil,airfoil
aeroplane,airplane
agony aunt,advice columnist
Allen key,Allen wrench
aluminium,aluminum
aniseed,anise
anticlockwise,counterclockwise
articulated lorry,tractor-trailer
asymmetric bars,uneven bars
aubergine,eggplant
baking tray,cookie sheet
bank holiday,legal holiday
beetroot,beet(s)
behaviour,behavior
bill,check
biscuit,cookie
black economy,underground economy
blanket bath,sponge bath
blind,shade
block of flats,apartment building
boiler suit,coveralls
bonnet (of a car),hood
boob tube,tube top
boot (of a car),trunk
bottom drawer,hope chest
bowls,lawn bowling
braces,suspenders
brawn (the food),headcheese
breakdown van,tow truck
breeze block,cinder block
bridging loan,bridge loan
bumbag,fanny pack
candyfloss,cotton candy
car park,parking lot
casualty,emergency room
catapult,slingshot
central reservation,median strip
chemist,drugstore
chips,French fries
cinema,movie theater; the movies
cling film,plastic wrap
common seal,harbor seal
consumer durables,durable goods
cornflour,cornstarch
cos (lettuce),Romaine
cot,crib
cot death,crib death
cotton bud,cotton swab
cotton wool,absorbent cotton
council estate,(housing) project
courgette,zucchini
court card,face card
crash barrier,guardrail
crisps,chips; potato chips
crocodile clip,alligator clip
cross-ply,bias-ply
crotchet (music),quarter note
current account,checking account
danger money,hazard pay
demister (in a car),defroster
dialling tone,dial tone
diamante,rhinestone
double cream,heavy cream
draughts,checkers
drawing pin,thumbtack
dressing gown,robe; bathrobe
drink-driving,drunk driving
drinks cupboard,liquor cabinet
drinks party,cocktail party
driving licence,driver’s license
dual carriageway,divided highway
dummy,pacifier
dust sheet,drop cloth
dustbin,garbage can
earth,ground
engaged,busy
estate agent,real estate agent
estate car,station wagon
ex-directory,unlisted
faith school,parochial school
financial year,fiscal year
fire brigade/service,fire company/department
first floor,second floor
fish finger,fish stick
fitted carpet,wall-to-wall carpeting
flannel,washcloth
flat,apartment
flexitime,flextime
flick knife,switchblade
flyover,overpass
football,soccer
footway,sidewalk
fringe,bangs
full board,American plan
full stop,period
garden,yard; lawn
gearing,leverage
gear lever,gearshift
goods train,freight train
greaseproof paper,wax paper/waxed paper
green fingers,green thumb
grill,broiler
grill,broil
ground floor,first floor
groundsman,groundskeeper
hairslide,barrette
hatstand,hatrack
hen night,bachelorette party
hire purchase,installment plan
hoarding,billboard
hob,stovetop
holdall,carryall
holiday,vacation
holidaymaker,vacationer
homely,homey
hosepipe,hose
in hospital,in the hospital
hot flush,hot flash
housing estate,housing development
hundreds and thousands,sprinkles (for ice cream)
ice lolly,Popsicle
icing sugar,confectioners’ sugar
indicator,turn signal
inside leg,inseam
jelly babies,jelly beans
Joe Bloggs,Joe Blow
Joe Public,John Q. Public
jumble sale,rummage sale
jump lead,jumper cable
jumper,sweater
junior school,elementary school
kennel,doghouse
ladybird,ladybug
a lettuce,a head of lettuce
level crossing,grade crossing
lift,elevator
lolly,Popsicle
lollipop lady,crossing guard
loo,john
loose cover,slipcover
lorry,truck
loudhailer,bullhorn
low loader,flatbed truck
lucky dip,grab bag
luggage van,baggage car
maize,corn
mangetout,snow pea
market garden,truck farm
